label,min,max,description
OPSEU-04104,53510,64342,Accident Claims Supervisor 1
OPSEU-04106,59432,72988,Accident Claims Supervisor 2
OPSEU-00990,48565,58139,Accommodation Officer 1
OPSEU-00992,51550,61878,Accommodation Officer 2
OPSEU-00994,53326,66285,Accommodation Officer 3
OPSEU-13688,58745,73217,Agricultural Officer 1
OPSEU-13690,70101,89990,Agricultural Officer 2
OPSEU-60700,45881,55268,Agricultural Specialist 1
OPSEU-60702,52895,63959,Agricultural Specialist 2
OPSEU-60704,62021,78027,Agricultural Specialist 3
OPSEU-13710,45881,55268,"Agricultural Specialist 1, Dairy"
OPSEU-13712,52895,63959,"Agricultural Specialist 2, Dairy"
OPSEU-14016,69052,88657,Air Quality Analyst
OPSEU-07860,44151,53139,Archivist 1
OPSEU-07862,52451,63370,Archivist 2
OPSEU-07864,59222,73128,Archivist 3
OPSEU-07870,68004,85674,Artifacts Officer
OPSEU-07390,54148,61781,Athletics Supervisor And Dean Of Men
OPSEU-14021,50733,61122,Biologist 1
OPSEU-14022,58501,70745,Biologist 2A
OPSEU-14024,63448,78372,Biologist 2B
OPSEU-14026,69548,87727,Biologist 3 (Bargaining Unit)
OPSEU-05312,60848,67758,Boiler Inspector
OPSEU-05925,53313,64038,Chief Inspector Of Theatres
OPSEU-05920,45573,54549,"Classifier 1, Board Of Censors"
OPSEU-05922,54925,64038,"Classifier 2, Board Of Censors"
OPSEU-05510,46374,56986,Community Development Officer 1
OPSEU-05512,60307,76286,Community Development Officer 2
OPSEU-05513,65484,81424,Community Development Officer 3
OPSEU-12100,46936,56599,Community Planner 1
OPSEU-12102,54327,65774,Community Planner 2
OPSEU-12104,62743,78334,Community Planner 3
OPSEU-12106,68258,86005,Community Planner 4
OPSEU-12108,75750,98583,Community Planner 5
OPSEU-60108,67548,83104,Contract Review Officer
OPSEU-12111,75000,94520,"Coordinator, Landscape Architectural Services"
OPSEU-30606,45865,54272,"Deputy 1, Administration Of Justice"
OPSEU-30608,51433,61245,"Deputy 2, Administration Of Justice"
OPSEU-30612,60232,72454,"Deputy Senior 1, Administration Of Justice"
OPSEU-02281,50329,64007,Economist 1 (Bargaining Unit)
OPSEU-02283,60278,72454,Economist 2 (Bargaining Unit)
OPSEU-02285,66125,84437,Economist 3 (Bargaining Unit)
OPSEU-02287,75157,98138,Economist 4 (Bargaining Unit)
OPSEU-02289,81051,107175,Economist 5 (Bargaining Unit)
OPSEU-07489,73859,95709,Education Adviser
OPSEU-07081,92515,122298,Education Officer
OPSEU-05344,62040,69320,Elevator Inspector 1
OPSEU-05350,74049,85118,Elevator Inspector 3
OPSEU-03519,64979,73858,Emergency Health Services Investigator
OPSEU-05521,62652,78824,Employment Standards Auditor 1
